text,label
USAirways I ve been on entity for one entity and four entity for your entity entity How can you possibly do entity this entity,0
USAirways 4 entity and counting entity alone like I don entity have other entity to accomplish entity than to just keep holding,0
AmericanAir What are we going to do about the entity you guys out me through entity entity entity from the entity you last sent me,0
USAirways entity 838 now leaving after 6 entity mechanical entity entity lodging voucher and entity tonight in st entity who do I see,0
united anyone awake Paying for entity on iPhone when entity to be using it on entity Logout entity for entity in entity entity is wasting,0
SouthwestAir just had a great entity 4223 with Damion He was the best damionflight4223,1
united rude cust ser entity busy chatting then yelled bc I took entity Put me stdby when entity Diff entity gave me seat 30min Late Flightr entity,0
USAirways AmericanAir will one of you please answer the entity,0
USAirways CSTSVC in PHL entity entity entity over my entity entity RCD of entity in HPN Now extra entity in PHL or 75 to get to CLE,0
SouthwestAir still no update entity 2053 entity still no entity to email fr1 5 2015 entity 256746438028 entity like entity losing entity entity entity,0
jetblue well we re on our entity now but more than half my entity entity are just static,0
USAirways ok entity,1
USAirways Aye and entity to do with an automated entity which doesn entity entity properly Anyway got through to entity,0
JetBlue Two delays A little proactive entity goes a long entity howhardcanthatreallybe,0
united we needed them here asap entity they make it on entity entity entity,0
AmericanAir nlrphoto Those are very beautiful entity Thx Would entity dept be interested in buying,1
USAirways and I can t get through on any entity,0
USAirways entity I m in LGA but my entity is in CLT Have been told to come back entity to collect entity you guys want to cover my entity entity,0
SouthwestAir thank you bringbacktheluvtordu miami directflights,1
JetBlue thank you for incredible entity svc from entity to entity entity entity is magic,1
SouthwestAir when will you be accepting entity past entity 7,0
USAirways I am a premium DividendMiles entity Unacceptable 4 you to hangup my customerservice entity twice after putting me on entity,0
AmericanAir why was my entity from entity to entity entity rescheduled to entity,0
SouthwestAir Happily entity 1625 was not delayed when a entity entity blew my four entity old entity entity entity entity n http t entity C8mqEzXVdH,1
AmericanAir all of these entity are not based on entity or entity that are out of your entity These entity are based on entity,0
USAirways sorry I meant entity 4420 which was supposed to depart at 5 00 now says 6 30 What is the entity,0
USAirways tell my entity that when I don entity show up to entity write my entity because I m stuck with no entity entity,0
AmericanAir nrosenb1 It s not allowing me to entity available entity,0
united worst2unitedflightsever UA1429 IAD to LAS 2 19 mechanical entity switched aircraft delayed 3 5 entity,0
USAirways he is 8 entity old and is suffering from a rare entity of entity Your entity entity entity had no entity and I am disgusted,0
SouthwestAir it keeps saying that mobile entity entity are unavailable despite having checked in and everything,0
AmericanAir Why is it ok that no entity can help me with the entity you lost on my entity 3months ago this is not responsible or professional,0
united entity there is when you keep getting the same robotic entity,0
united what took me aback was the entity by the entity entity who put the entity squarely back on entity entity entity,0
AmericanAir entity entity need to change their entity on entity entity is not for entity entity entity DQnn0Rf1V8,0
JetBlue as much entity have paid in entity Plus entity and entity because of your entity entity could had flown with a more reliable entity no2jetblue,0
united I m sorry it s cold in entity but I don t see why that means it takes 45 entity for my entity entity to show up on the entity,0
USAirways what s going on I ve been hearing a not friendly Please entity on entity while I m on entity being transferred to idk where,0
united arrived in YYZ to take our entity to entity entity missing our entity entity Slow entity Sukhdeep caused us to miss our flt,0
united entity entity 16hr entity entity can only be redeemed on entity which has 200 higher entity than Expedia call entity entity 55mins,0
AmericanAir Your AA3465 entity are refusing to allow a entity to entity She was here at 8 for 8 16 entity entity still Now Boarding,0
JetBlue just please get my entity from 2070 onto entity 5 entity entity and I ll be able to go entity,0
USAirways waited for 3 entity entity entity entity too long left entity when entity Cancelled Flighted WHERE does luggage GO On entity for 1 entity so far,0
JetBlue Why are you making it so freaking hard for me to say good entity about you jetbluefail http entity entity v8SB0RBICx,0
AmericanAir served the nastiest entity Ive ever seen entity entity entity in entity The entity entity sent their entity back entity can confirm,0
USAirways and it still says it s on entity on your entity btw,0
USAirways but the automated entity says the entity is too busy to join the entity stuckintheloop,0
united Actually the entity was just Cancelled Flightled entity entity entity Qf0Oc2HqeZ,0
JetBlue entity of my entity is 3 entity entity and de icing twice Now sitting in entity to bumper entity in entity to finally get entity,0
united 50 entity entity still at the entity with a broken jetway entity miss entity,0
USAirways what is the expected entity entity to speak to entity via 800 entity,0
JetBlue we re entity you guys recovered now we can laugh about it and the extra entity in entity entity you open entity soon,0
united trying to reach him for the entity At last they have him on standbye and gave him 1 entity entity for a potential 2 entity standbye,0
united yes please I am newly married and trying to update my last entity on a preexisting international entity It seems so easy but,0
usairways great entity for entity 504 PHX to YVR entity entity efficient Awesome entity,1
AmericanAir thanks a entity is better than entity at all entity USAirways,1
USAirways they call weather an entity of entity and refuse to help I have my entity and 3 entity and they have no entity,0
Thank you United united dan roam That s a beautiful entity to stay a entity longer Have you been re booked If not let me know entity,1
united entity Hopefully this is easily resolved,1
AmericanAir Thank you Good entity I checked and we were not rebooked We ll keep checking and looking for other entity,1
USAirways understood and so does us airways entity through entity is the entity,0
USAirways stuck on entity for entity an a entity and told longer to go and no entity available when we land in entity unacceptable unhappy,0
USAirways would you consider honoring the original entity entity if I were to try entity entity entity the entity again,0
united Thank you for the new entity at entity entity Very comfortable You made the difficult entity entity proficient and enjoyable,1
USAirways Uh yeah entity boarded amp now 1 entity Late Flightr we still sit entity on 4435 to DCA,0
AmericanAir Gabriela in entity is a very rude entity Working the MIA LGA entity In She made entity unpleasant customerexperience,0
JetBlue keeps getting better entity entity on the entity,0
NinaDavuluri We think it s a entity to have you onboard Enjoy your entity,1
