text,label
USAirways I ve been on hold entity for one hour entity and four minutes entity for your reservations entity line entity How can you possibly do business entity this way entity,0
USAirways 4 hrs entity and counting today entity alone like I don t entity have other things entity to accomplish today entity than to just keep holding,0
AmericanAir What are we going to do about the nightmare entity you guys out me through yesterday entity Zero entity response entity from the tweet entity you last sent me,0
USAirways flight entity 838 now leaving after 6 hour entity mechanical delay entity Need entity lodging voucher and meals entity tonight in st Thomas entity who do I see,0
united anyone awake Paying for wifi entity on iPhone when need entity to be using it on laptop entity Logout option entity for wifi entity in flight entity Time entity is wasting,0
SouthwestAir just had a great flight entity 4223 with Damion He was the best damionflight4223,1
united rude cust ser agents entity busy chatting then yelled bc I took pic entity Put me stdby when seat entity Diff agent entity gave me seat 30min Late Flightr Platinum entity,0
USAirways AmericanAir will one of you please answer the phone entity,0
USAirways CSTSVC in PHL honors entity UR entity system entity over my reality entity No entity RCD of change entity in HPN Now extra hours entity in PHL or 75 to get to CLE,0
SouthwestAir still no update text entity 2053 amp entity still no response entity to email fr1 5 2015 SR entity 256746438028 Feel entity like yr entity losing customer entity service entity care entity,0
jetblue well we re on our way entity now but more than half my tv entity channels entity are just static,0
USAirways ok thanks entity,1
USAirways Aye and nothing entity to do with an automated system entity which doesn t entity work entity properly Anyway got through to somebody entity,0
JetBlue Two delays A little proactive communication entity goes a long way entity howhardcanthatreallybe,0
united we needed them here asap Will entity they make it on today entity s entity flight entity,0
AmericanAir nlrphoto Those are very beautiful photos entity Thx Would marketing entity dept be interested in buying,1
USAirways and I can t get through on any phones entity,0
USAirways Hi entity I m in LGA but my luggage entity is in CLT Have been told to come back tomorrow entity to collect Do entity you guys want to cover my taxi entity fare entity,0
SouthwestAir thank you bringbacktheluvtordu miami directflights,1
JetBlue thank you for incredible customer entity svc from gate entity to flight entity Mint entity experience entity is magic,1
SouthwestAir when will you be accepting reservations entity past August entity 7,0
USAirways I am a premium DividendMiles cardholder entity Unacceptable 4 you to hangup my customerservice call entity twice after putting me on hold entity,0
AmericanAir why was my flight entity from Miami entity to Dallas entity Monday entity rescheduled to Tuesday entity,0
SouthwestAir Happily flight entity 1625 was not delayed when a cockpit entity visit entity blew my four yr entity old s entity mind entity Thanks entity Cap entity n http t co entity C8mqEzXVdH,1
AmericanAir all of these issues entity are not based on weather entity or things entity that are out of your control entity These issues entity are based on negligence entity,0
USAirways sorry I meant flight entity 4420 which was supposed to depart at 5 00 now says 6 30 What is the issue entity,0
USAirways tell my professors entity that when I don t entity show up to class entity write my midterm entity because I m stuck with no flights entity home entity,0
AmericanAir nrosenb1 It s not allowing me to book entity available seats entity,0
united worst2unitedflightsever UA1429 IAD to LAS 2 19 mechanical problems entity switched aircraft delayed 3 5 hours entity,0
USAirways he is 8 months entity old and is suffering from a rare form entity of cancer entity Your customer entity service entity agents entity had no compassion entity and I am disgusted,0
SouthwestAir it keeps saying that mobile boarding entity passes entity are unavailable despite having checked in and everything,0
AmericanAir Why is it ok that no one entity can help me with the bag entity you lost on my honeymoon entity 3months ago this is not responsible or professional,0
united yes entity there is when you keep getting the same robotic answer entity,0
united what took me aback was the response entity by the flight entity attendant entity who put the responsibility entity squarely back on passenger entity s entity shoulders entity,0
AmericanAir Policy entity makers entity need to change their mindset entity on aviation entity Flying entity is not for http entity t entity co entity DQnn0Rf1V8,0
JetBlue as much i entity have paid in fees entity Plus hotel entity and food entity because of your changes entity i entity could had flown with a more reliable airline entity no2jetblue,0
united I m sorry it s cold in chicago entity but I don t see why that means it takes 45 minutes entity for my priority entity bag entity to show up on the carousel entity,0
USAirways what s going on I ve been hearing a not friendly Please wait entity on repeat entity while I m on hold entity being transferred to idk where,0
united arrived in YYZ to take our flight entity to Taiwan entity Reservation entity missing our ticket entity numbers entity Slow agent entity Sukhdeep caused us to miss our flt,0
united customer entity service entity 16hr delay entity coupon entity can only be redeemed on website entity which has 200 higher prices entity than Expedia call wait entity time entity 55mins,0
AmericanAir Your AA3465 staff entity are refusing to allow a woman entity to board entity She was here at 8 for 8 16 departure entity Sign entity still Now Boarding,0
JetBlue just please get my luggage entity from 2070 onto carousel entity 5 Logan entity Airport entity and I ll be able to go home entity,0
USAirways waited for 3 hours entity NO entity LUGGAGE entity line entity too long left airport entity when flight entity Cancelled Flighted WHERE does luggage GO On hold entity for 1 hour entity so far,0
JetBlue Why are you making it so freaking hard for me to say good things entity about you jetbluefail http t entity co entity v8SB0RBICx,0
AmericanAir served the nastiest food entity Ive ever seen yesterday entity Rubber entity chicken entity in slime entity The ENTIRE entity cabin entity sent their food entity back FAs entity can confirm,0
USAirways and it still says it s on time entity on your website entity btw,0
USAirways but the automated message entity says the line entity is too busy to join the queue entity stuckintheloop,0
united Actually the flight entity was just Cancelled Flightled http entity t entity co entity Qf0Oc2HqeZ,0
JetBlue Highlight entity of my travel entity is 3 hour entity delay entity and de icing twice Now sitting in bumper entity to bumper traffic entity in taxi entity to finally get home entity,0
united 50 minute entity wait entity still at the gate entity with a broken jetway Might entity miss connection entity,0
USAirways what is the expected wait entity time entity to speak to someone entity via 800 number entity,0
JetBlue we re home entity you guys recovered now we can laugh about it and the extra day entity in barbados entity Will entity you open Cuba entity soon,0
united trying to reach him for the number entity At last they have him on standbye and gave him 1 meal entity voucher entity for a potential 2 day entity standbye,0
united yes please I am newly married and trying to update my last name entity on a preexisting international flight entity It seems so easy but,0
usairways great crew entity for flight entity 504 PHX to YVR tonight entity Friendly entity efficient Awesome job entity,1
AmericanAir thanks a response entity is better than nothing entity at all ahem entity USAirways,1
USAirways they call weather an act entity of God entity and refuse to help I have my wife entity and 3 kids entity and they have no sympathy entity,0
Thank you United united dan roam That s a beautiful place entity to stay a day entity longer Have you been re booked If not let me know MN entity,1
united Thanks entity Hopefully this is easily resolved,1
AmericanAir Thank you Good suggestion entity I checked and we were not rebooked We ll keep checking and looking for other flights entity,1
USAirways understood and so does us airways Getting entity through tsa entity is the problem entity,0
USAirways stuck on Tarmac entity for hour entity an a half entity and told longer to go and no hotels entity available when we land in Phoenix entity unacceptable unhappy,0
USAirways would you consider honoring the original fare entity price entity if I were to try Flight entity Booking entity Problems entity the ticket entity again,0
united Thank you for the new Club entity at O entity Hare entity Very comfortable You made the difficult weather entity days entity proficient and enjoyable,1
USAirways Uh yeah Flight entity boarded amp now 1 hr entity Late Flightr we still sit Update entity on 4435 to DCA,0
AmericanAir Gabriela in Miami entity is a very rude employee entity Working the MIA LGA check entity In She made experience entity unpleasant customerexperience,0
JetBlue keeps getting better No entity water entity on the plane entity,0
NinaDavuluri We think it s a treat entity to have you onboard Enjoy your flight entity,1
VirginAmerica should I be concerned that I am about to fly on a plane entity that needs to be delayed due to a tech entity stop entity,0
AmericanAir Asked for a waiver entity of a change entity fee entity for flight entity booked w entity in past 24 hrs entity Rep entity was rude Just told me no Didn t even try to help,0
united flight entity 1219 My frustration entity boiled over after dealing with attendant Her attitude entity was ridiculous,0
JetBlue flight entity 99 to DCA 2 delays entity I m all for erring on the side entity of safety entity but it s an inconvenience entity to people entity with connecting flights entity,0
USAirways if a passenger entity is to large to put down the armrest entity and now is using part entity of my seat entity what is my recourse entity nothappy,0
jetblue it would be nice if the app would actually inform you that a flight entity is delayed,0
JetBlue nope None entity to be found,0
AmericanAir what sense entity is it to charge for a bag entity service entity when the service entity isn entity t great Losing luggage entity and now missing items entity this is bs,0
JetBlue Found entity someone entity to ask No entity answers entity Landed almost 40 minutes entity ago,0
USAirways thanks entity for your help entity I left a message entity for DCA lost and found Fingers entity crossed we find it,1
AmericanAir Was entity not on board entity you today entity just watched report entity unfold on Twitter entity but still am very proud,1
USAirways Decided to be a good sport entity and give you guys another shot entity Flight entity delayed Again,0
VirginAmerica amazing customer entity service entity again RaeAnn in SF she s the best customerservice virginamerica flying,1
